publisher,count
ETF Daily News,439
Biztoc.com,89
Thefly.com,86
Slashdot.org,28
DW (English),25
ABC News,24
Yahoo Entertainment,22
The Times of India,21
Antaranews.com,19
Freerepublic.com,16
Tuscaloosa News,16
Newsweek,14
Paul Tan's Automotive News,14
Financial Post,11
Breitbart News,11
BBC News,10
Israelnationalnews.com,10
CinemaBlend,9
Mediagazer.com,9
TechRadar,9
ABC News (AU),8
Techtarget.com,8
Shannews.org,8
Outside,8
Nbcsportsbayarea.com,8
CNN,8
Wccftech,8
Streamingmedia.com,8
Motorsport.com,8
Timesrecordnews.com,8
Iasbaba.com,8
Billboard,8
NPR,8
LancasterOnline,8
Greenville News,8
Palm Beach Daily News,8
Superherohype.com,8
AutoExpress,8
STAT,8
Knoxville News Sentinel,8
Sky.com,8
mindbodygreen.com,8
Memeorandum.com,7
Fox News,6
Sporting News,5
USA Today,4
Mypeoplesreview.com,4
Thechronicle.com.gh,3
New Zealand Herald,3
Next Big Future,3
Bleeding Cool News,3
Hacker News,3
Decrypt,2
Raw Story,2
BusinessLine,2
CBS News,2
ESPN,2
Sputnikglobe.com,2
Boredpanda.com,2
Albuquerque Journal,2
The-independent.com,2
Independent.ie,2
Thailandmedical.news,1
IGN,1
Crikey,1
WPXI Pittsburgh,1
Ralphiereport.com,1
Thepinknews.com,1
NBCSports.com,1
New Atlas,1
Livedoor.biz,1
Economictimes.com,1
Book Riot,1
Wattsupwiththat.com,1
Activistpost.com,1
Prtimes.jp,1
The Japan Times,1
CBC News,1
CleanTechnica,1
Twistedsifter.com,1
Theregister.com,1
Antiwar.com,1
The Indian Express,1
Mmapayout.com,1
Marca,1
KRQE News 13,1
Naija247news.com,1
Al Jazeera English,1
ClutchPoints,1
Nep123.com,1
Artsjournal.com,1
Just Jared,1
Wfxrtv.com,1
Egscomics.com,1
New York Post,1
1000mg.jp,1
Deseret News,1
Digital Journal,1
International Business Times,1
Publichealthpolicyjournal.com,1
Digitimes,1
On3.com,1
Khabarhub.com,1
Gematsu,1
The Daily Caller,1
College Football News,1
The Irish Times,1
Protothema.gr,1
Aboard.com,1
Natematias.com,1
Thesimplyluxuriouslife.com,1
Kleagueunited.com,1
Anime News Network,1
Get French Football News,1
YLE News,1
PhoneArena,1
