token,count
report,9718
shares,9440
inc,7083
stock,6687
trump,5763
nasdaq,5483
nyse,4839
company,4795
market,4760
get,4581
have,4418
financial,3883
price,3675
quarter,3563
com,3540
reports,3372
investors,3321
research,3085
rating,2632
what,2560
owned,2423
analysts,2417
day,2392
real,2335
year,2285
see,2235
president,2144
buy,2131
post,2121
money,2118
