word,total
free,17473
stock,9916
nasdaq,9588
get,9130
nyse,8504
trump,8185
first,7703
during,6979
price,5264
holdings,5230
research,5216
recent,5028
financial,4991
open,4911
group,4822
time,4528
return,4486
been,4481
earnings,4415
how,4368
owned,4364
investors,4282
here,4202
august,4170
rating,4119
now,3977
president,3921
out,3910
why,3796
window,3766
